time="2024-05-16T19:20:56+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T19:22:12+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T19:22:44+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T19:27:45+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T19:35:30+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T19:41:35+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T19:49:22+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T22:54:54+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T22:58:22+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T23:01:19+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T23:04:13+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T23:08:47+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T23:11:21+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T23:38:24+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T23:39:23+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T23:43:57+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T23:43:59+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T23:45:10+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T23:47:58+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-16T23:48:16+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T10:56:10+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T10:59:14+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:00:45+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:02:25+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:02:49+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:06:55+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:18:28+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:19:38+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:27:44+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:28:39+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:28:59+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:30:07+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:33:46+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:41:51+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:43:06+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:46:21+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:51:45+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:53:59+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T11:55:46+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:10:07+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:11:47+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:13:32+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:15:35+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:15:58+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:16:18+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:16:58+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:17:09+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:17:35+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:18:57+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:21:26+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:28:14+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:28:37+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:41:37+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:42:54+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:49:59+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:51:08+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T12:51:23+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:06:45+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:11:58+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:15:13+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:17:40+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:24:02+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:24:51+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:40:02+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:42:08+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:43:16+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:52:01+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:52:37+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:52:53+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:54:05+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:56:23+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T13:56:58+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:01:21+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:19:42+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:22:09+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:23:42+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:24:11+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:24:44+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:46:14+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:46:44+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:48:16+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:48:27+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:48:40+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:48:54+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:49:24+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:52:32+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:53:54+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:54:00+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T14:59:38+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:00:48+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:01:29+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:04:25+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:04:35+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:04:41+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:06:37+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:08:23+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:15:04+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:41:54+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:42:17+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:42:48+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:44:04+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:46:39+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:47:29+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:47:55+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:48:28+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:48:45+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:54:59+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:54:59+05:00" level=fatal msg="listen tcp :8080: bind: Only one usage of each socket address (protocol/network address/port) is normally permitted."
time="2024-05-17T15:55:03+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:55:32+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T15:56:23+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T16:16:15+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T16:54:23+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T17:11:22+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:00:09+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:03:45+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:04:33+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:07:27+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:10:46+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:16:20+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:19:06+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:19:53+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:27:00+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:34:54+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:43:35+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:43:59+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:45:47+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-17T18:46:47+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-20T01:51:35+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-21T21:58:07+05:00" level=info msg="Server started at localhost:8080"
